Node_No,X,Y,Z,Total Deformation
33507,0.0013,-0.0032,-0.0667,0.0668
33508,0.0010,-0.0034,-0.0663,0.0664
33509,0.0011,-0.0028,-0.0670,0.0670
33510,0.0025,-0.0025,-0.0668,0.0669
33511,0.0019,-0.0029,-0.0667,0.0668
33512,0.0022,-0.0027,-0.0664,0.0665
33513,0.0017,-0.0025,-0.0670,0.0671
33514,0.0022,-0.0022,-0.0673,0.0674
33515,0.0032,-0.0015,-0.0667,0.0668
33516,0.0035,-0.0004,-0.0667,0.0668
33517,0.0033,-0.0011,-0.0665,0.0666
33518,0.0034,-0.0007,-0.0663,0.0664
33519,0.0030,-0.0004,-0.0670,0.0670
33520,0.0027,-0.0011,-0.0664,0.0664
33521,0.0028,-0.0013,-0.0672,0.0673
33522,-0.0033,0.0013,-0.0673,0.0674
33523,-0.0029,0.0019,-0.0673,0.0674
33524,-0.0031,0.0016,-0.0670,0.0671
33525,-0.0027,0.0017,-0.0673,0.0674
33526,-0.0029,0.0013,-0.0678,0.0679
33527,-0.0035,-0.0001,-0.0612,0.0613
33528,-0.0033,-0.0011,-0.0615,0.0616
33529,-0.0035,-0.0003,-0.0616,0.0617
33530,-0.0034,-0.0007,-0.0619,0.0620
33531,-0.0029,-0.0007,-0.0612,0.0613
33532,-0.0034,0.0008,-0.0610,0.0611
33533,-0.0030,0.0018,-0.0611,0.0612
33534,-0.0033,0.0013,-0.0614,0.0615
33535,-0.0026,0.0013,-0.0614,0.0615
33536,-0.0028,0.0011,-0.0606,0.0607
33537,-0.0016,-0.0031,-0.0609,0.0610
33538,-0.0007,-0.0034,-0.0611,0.0612
33539,-0.0010,-0.0033,-0.0613,0.0614
33540,-0.0008,-0.0028,-0.0606,0.0607
33541,-0.0013,-0.0028,-0.0613,0.0614
33542,-0.0014,-0.0028,-0.0606,0.0607
33543,-0.0023,-0.0027,-0.0612,0.0613
33544,-0.0015,-0.0032,-0.0613,0.0614
33545,-0.0019,-0.0029,-0.0615,0.0616
33546,-0.0017,-0.0026,-0.0614,0.0614
33547,-0.0019,-0.0026,-0.0607,0.0608
33548,-0.0017,-0.0031,-0.0665,0.0666
33549,-0.0022,-0.0027,-0.0664,0.0665
33550,-0.0012,-0.0026,-0.0672,0.0673
33551,-0.0018,-0.0021,-0.0674,0.0674
33552,-0.0017,-0.0023,-0.0664,0.0664
33553,0.0023,0.0026,-0.0615,0.0616
33554,0.0016,0.0031,-0.0616,0.0617
33555,0.0020,0.0029,-0.0618,0.0619
33556,0.0018,0.0025,-0.0605,0.0606
33557,0.0017,0.0025,-0.0614,0.0615
33558,0.0033,0.0013,-0.0665,0.0666
33559,0.0027,0.0022,-0.0665,0.0666
33560,0.0031,0.0017,-0.0664,0.0665
33561,0.0022,0.0018,-0.0669,0.0669
33562,0.0026,0.0015,-0.0675,0.0675
33563,0.0028,0.0016,-0.0667,0.0667
33564,0.0021,0.0028,-0.0664,0.0665
33565,0.0012,0.0033,-0.0666,0.0667
33566,0.0017,0.0031,-0.0663,0.0664
33567,0.0015,0.0025,-0.0668,0.0668
33568,0.0005,0.0035,-0.0667,0.0668
33569,-0.0001,0.0035,-0.0668,0.0669
33570,0.0002,0.0030,-0.0674,0.0675
33571,-0.0009,0.0034,-0.0668,0.0669
33572,-0.0017,0.0031,-0.0669,0.0670
33573,-0.0014,0.0032,-0.0665,0.0666
33574,-0.0014,0.0026,-0.0677,0.0678
33575,-0.0006,0.0028,-0.0675,0.0675
33576,-0.0013,0.0026,-0.0666,0.0666
33577,-0.0018,0.0025,-0.0672,0.0672
33578,0.0034,-0.0009,-0.0611,0.0612
33579,0.0035,0.0004,-0.0613,0.0614
33580,0.0035,-0.0001,-0.0616,0.0617
33581,0.0034,-0.0007,-0.0615,0.0616
33582,0.0030,0.0003,-0.0616,0.0617
33583,0.0030,-0.0006,-0.0612,0.0613
33584,0.0029,-0.0020,-0.0612,0.0613
33585,0.0033,-0.0013,-0.0614,0.0615
33586,0.0031,-0.0016,-0.0616,0.0617
33587,0.0028,-0.0011,-0.0611,0.0612
33588,0.0027,-0.0017,-0.0614,0.0615
33589,0.0021,-0.0028,-0.0618,0.0619
33590,0.0025,-0.0024,-0.0619,0.0620
33591,0.0028,-0.0021,-0.0619,0.0619
33592,0.0018,-0.0023,-0.0614,0.0615
33593,0.0023,-0.0022,-0.0617,0.0617
33594,0.0034,0.0006,-0.0618,0.0619
33595,0.0032,0.0014,-0.0619,0.0619
33596,0.0034,0.0010,-0.0622,0.0623
33597,0.0029,0.0009,-0.0618,0.0618
33598,0.0029,0.0009,-0.0607,0.0608
33599,0.0030,-0.0018,-0.0663,0.0664
33600,0.0026,-0.0024,-0.0661,0.0662
33601,0.0028,-0.0021,-0.0659,0.0660
33602,0.0024,-0.0018,-0.0662,0.0663
33603,0.0020,-0.0022,-0.0667,0.0668
33604,0.0025,-0.0019,-0.0671,0.0671
33605,-0.0035,0.0005,-0.0671,0.0672
33606,-0.0032,0.0014,-0.0668,0.0669
33607,-0.0035,0.0006,-0.0667,0.0668
33608,-0.0034,0.0010,-0.0665,0.0666
33609,-0.0030,0.0006,-0.0670,0.0670
33610,-0.0028,0.0014,-0.0671,0.0672
33611,-0.0030,0.0011,-0.0676,0.0677
33612,-0.0035,0.0002,-0.0615,0.0616
33613,-0.0034,0.0009,-0.0614,0.0615
33614,-0.0027,0.0008,-0.0615,0.0615
33615,-0.0029,0.0006,-0.0607,0.0607
33616,-0.0030,0.0002,-0.0618,0.0619
33617,-0.0029,-0.0003,-0.0611,0.0611
33618,-0.0034,-0.0008,-0.0667,0.0668
33619,-0.0035,0.0000,-0.0667,0.0668
33620,-0.0030,0.0001,-0.0669,0.0670
33621,-0.0029,-0.0020,-0.0663,0.0664
33622,-0.0034,-0.0007,-0.0664,0.0665
33623,-0.0031,-0.0017,-0.0660,0.0661
33624,-0.0034,-0.0010,-0.0660,0.0661
33625,-0.0029,-0.0006,-0.0666,0.0667
33626,-0.0024,-0.0014,-0.0672,0.0673
33627,-0.0023,-0.0016,-0.0662,0.0663
33628,-0.0028,-0.0010,-0.0661,0.0661
33629,-0.0019,0.0029,-0.0616,0.0617
33630,-0.0010,0.0034,-0.0616,0.0617
33631,-0.0014,0.0032,-0.0619,0.0620
33632,-0.0017,0.0023,-0.0616,0.0617
33633,-0.0009,0.0028,-0.0608,0.0609
33634,-0.0009,0.0028,-0.0618,0.0619
33635,0.0000,-0.0035,-0.0617,0.0618
33636,-0.0006,-0.0035,-0.0615,0.0616
33637,-0.0004,-0.0035,-0.0620,0.0621
33638,-0.0003,-0.0029,-0.0608,0.0609
33639,0.0000,-0.0030,-0.0620,0.0621
33640,0.0004,-0.0029,-0.0613,0.0614
33641,-0.0008,-0.0029,-0.0615,0.0616
33642,-0.0029,-0.0020,-0.0616,0.0617
33643,-0.0022,-0.0027,-0.0617,0.0618
33644,-0.0025,-0.0024,-0.0619,0.0620
33645,-0.0020,-0.0024,-0.0616,0.0617
33646,-0.0029,-0.0020,-0.0620,0.0621
33647,-0.0033,-0.0012,-0.0621,0.0622
33648,-0.0031,-0.0017,-0.0622,0.0623
33649,-0.0027,-0.0015,-0.0622,0.0623
